iter	Passed	Remaining
0	152	152411
1	157	78392
2	162	54060
3	167	41720
4	177	35286
5	179	29711
6	181	25678
7	182	22678
8	184	20335
9	190	18833
10	192	17285
11	194	16014
12	199	15181
13	202	14232
14	203	13348
15	204	12569
16	205	11906
17	206	11280
18	207	10719
19	209	10282
20	211	9851
21	212	9446
22	213	9061
23	214	8709
24	214	8384
25	215	8085
26	216	7806
27	217	7549
28	219	7353
29	221	7161
30	222	6962
31	223	6772
32	224	6586
33	225	6409
34	226	6242
35	227	6083
36	228	5934
37	228	5792
38	229	5662
39	231	5564
40	233	5450
41	234	5338
42	235	5232
43	236	5138
44	237	5040
45	238	4943
46	239	4850
47	240	4760
48	240	4675
49	242	4603
50	243	4540
51	245	4468
52	246	4404
53	247	4337
54	248	4268
55	249	4202
56	250	4145
57	251	4085
58	252	4025
59	254	3979
60	255	3938
61	257	3889
62	258	3837
63	258	3784
64	259	3735
65	260	3687
66	261	3639
67	261	3588
68	262	3544
69	263	3500
70	265	3468
71	266	3438
72	268	3407
73	269	3370
74	270	3333
75	271	3295
76	271	3260
77	272	3224
78	273	3190
79	274	3156
80	275	3123
81	276	3100
82	278	3079
83	280	3054
84	280	3022
85	281	2993
86	282	2961
87	283	2934
88	283	2906
89	284	2881
90	285	2856
91	287	2834
92	289	2827
93	322	3107
94	324	3087
95	325	3065
96	327	3052
97	328	3026
98	329	3002
99	335	3015
100	336	2992
101	337	2974
102	338	2951
103	340	2931
104	341	2908
105	342	2884
106	342	2861
107	343	2838
108	344	2816
109	345	2793
110	346	2774
111	349	2770
112	350	2753
113	351	2733
114	352	2712
115	353	2691
116	354	2672
117	354	2652
118	355	2632
119	356	2614
120	357	2598
121	360	2591
122	361	2574
123	362	2559
124	363	2542
125	364	2525
126	364	2507
127	365	2489
128	366	2472
129	367	2456
130	367	2440
131	368	2424
132	370	2412
133	371	2400
134	372	2386
135	373	2371
136	374	2356
137	374	2341
138	375	2326
139	376	2312
140	377	2298
141	378	2284
142	380	2278
143	381	2268
144	383	2258
145	384	2249
146	385	2237
147	386	2224
148	387	2211
149	388	2198
150	388	2186
151	389	2174
152	391	2166
153	393	2159
154	394	2148
155	395	2141
156	396	2130
157	397	2119
158	398	2107
159	399	2095
160	400	2084
161	400	2073
162	401	2063
163	403	2057
164	405	2050
165	406	2043
166	407	2033
167	408	2023
168	409	2012
169	410	2002
170	411	1994
171	412	1985
172	413	1975
173	414	1969
174	416	1962
175	417	1955
176	418	1946
177	419	1937
178	420	1927
179	421	1920
180	422	1909
181	423	1902
182	424	1893
183	427	1894
184	428	1888
185	429	1881
186	430	1873
187	431	1865
188	432	1857
189	433	1849
190	434	1841
191	435	1833
192	436	1824
193	437	1816
194	439	1812
195	440	1805
196	441	1798
197	442	1792
198	443	1785
199	444	1777
200	445	1769
201	445	1761
202	446	1753
203	447	1746
204	448	1741
205	451	1738
206	452	1733
207	454	1729
208	454	1721
209	455	1714
210	456	1707
211	457	1700
212	458	1692
213	459	1686
214	460	1679
215	461	1676
216	463	1670
217	464	1666
218	465	1660
219	466	1653
220	467	1646
221	467	1639
222	468	1633
223	469	1626
224	470	1620
225	471	1613
226	472	1607
227	474	1605
228	475	1602
229	476	1596
230	477	1590
231	478	1584
232	479	1578
233	480	1571
234	480	1565
235	481	1559
236	482	1553
237	483	1547
238	485	1545
239	486	1539
240	488	1536
241	489	1532
242	490	1528
243	491	1523
244	492	1517
245	493	1511
246	494	1506
247	494	1500
248	495	1494
249	497	1491
250	498	1486
251	499	1482
252	500	1477
253	501	1472
254	502	1467
255	503	1462
256	503	1456
257	504	1451
258	505	1446
259	507	1443
260	509	1442
261	510	1439
262	511	1434
263	512	1429
264	513	1424
265	514	1419
266	515	1414
267	515	1409
268	516	1404
